곡번호,곡제목,가수,작곡가,작사가
"50192","사라지네(Vocal. 홍루) (게임""림버스 컴퍼니"")","ProjectMoon","(주)스튜디오이아..","(주)스튜디오이아.."
"50214","사랑 복","신찬","차니","이상일"
"50167","사랑은 여섯 줄","10cm","권정열","권정열"
"50180","사랑을 몰랐소 (Feat.중식이)","정수","정수","정수"
"50210","사랑의 맘보","송가인","설운도","설운도"
"50196","사랑의 바보 (2025)","The Nuts","외국곡","강은경"
"50144","사춘기","Skinny Brown,Jayci..","Skinny Brown,Jayci..","Skinny Brown,Jayci.."
"50209","순간을 영원처럼","임영웅","Ji Soo Park,l.vin","Ji Soo Park"
"50168","숫자 놀이 (뽀로로와 노래해요)","뽀로로","박희준","뽀로로"
"50162","시간을 달리네","한로로","한로로,Ryo","한로로"
"50197","시작의 아이","박다혜,마크툽","마크툽","마크툽"
"50169","시작이 반","박상철","박진복,현정","박진복,박출"
"50170","약초 같은 사랑","김동관","홍성욱","원도"
"50151","우리 사랑은","찰리빈웍스","찰리빈웍스","찰리빈웍스"
"50134","우리, 여행","소란","고영배","고영배"
"50181","운명 (WOOZI Solo)","세븐틴","Bumzu,박기태","Bumzu"
"50206","울진항 연가","최재영","이호섭","최재영"
"50152","유조건","카피추","박현진,박정욱,박..","박현진,한솔,카피.."
"50163","이별은 안 됩니다","김동관","홍성욱","원도"
"50182","이상형","남산","차태일","한시윤"
"50211","이제 내가 지킬게요","손태진,전유진","손태진,재호","손태진,재호"
"50145","잔향","Option","Option,Duck11...","Option"
"50176","잘됐으면 좋겠다","산들(B1A4)","Luvan,Wonderkid","Luvan,77어린이"
"50138","장례 희망","이찬혁","이찬혁,Millenni..","이찬혁"
"50139","저음 자랑하는 노래","과나","과나","과나"
"50188","지금부터","Hebi","조원상,이도훈,최..","조원상,이도훈"
"50183","진짜 사랑","고화영","최원일","윤재경"
"50153","착하다는 말이 제일 싫어","YENA(최예나)","네이슨,한아영,Nm..","네이슨,송호정,뷰.."
"50212","참 다행이야","배기성","김건우","이태건"
"50140","최면 (Wake Up)","ATEEZ(에이티즈)","Eden,Ollounder,B..","Eden,Ollounder,B.."
"50147","춤 (Feat.비비)","10cm","권정열,한국인","권정열,한국인"
"50190","콜 미","코요태","JY","JY,빽가"
"50177","태양은 가득히","딘딘","윤일상","강은경"
"50213","한 번 더 이별 (영화""첫사랑 엔딩"")","이창섭","윤종신,이근호","윤종신"
"50141","BEAUTIFUL","iKON","Choice37,TEDDY,B.I","BOBBY,B.I,TEDDY"
"50191","Bugatti (Feat.Future,Rick Ross)","Ace Hood","Ace Hood,Future,Rick..","Words & Music by"
"50201","CEREMONY","스트레이 키즈","방찬,창빈,한,베..","방찬,창빈,한"
"50184","CLOSER","전소미","Jesse Bluu,Oluf..","Jesse Bluu,Oluf.."
"50156","DANCING ALONE","KiiiKiii(키키)","Melanie Fontana..","Jinooya"
"50202","Easy Lover","정동원","박진영,Nathan C..","박진영"
"50135","GO BABY","Justin Bieber","Justin Bieber,Eddie B..","Words & Music by"
"50129","HAVE A GOOD DAY","WINNER","강승윤,MINO,강욱진","이승훈,MINO"
"50185","Hello Mr. My Yesterday (명탐정 코난 10기 주..","애쉬그레이","TAKA","KOOKI,TACK,L(R).."
"50157","Higher(비천강림)(만화 ""신비 아파트 고스트..","정재윤(Tula)","강민국,Jung Bong H","강민형"
"50189","HUNTER","키(샤이니)","Kenzie,Jonatan..","Kenzie,Jonatan.."
"50158","ICONIC (Feat.창모)","BE'O","BE'O,RUBYBOY,POSH","BE'O,창모"
"50203","jellyous","아일릿(ILLIT)","dwilly,Colin Ma..","dwilly,Colin Ma.."
"57796","M八七 (特撮""シン・ウルトラマン"")","米津玄師","米津玄師","米津玄師"
"50159","Monday Is Coming(Feat. BIG Naughty(서동현))","10cm","권정열,BIG Naug..","권정열,BIG Naug.."
"50160","Say Yes","한만청","김명기","김명기"
"50193","Shake It Off (MINGYU Solo)","세븐틴","민규,IOAH","민규,Shannon Ba.."
"50204","SHUT THAT","재쓰비(JAESSBEE)","HARING,다나,Dav..","김보민,un:named.."
"50130","SLAM DUNK","ZEROBASEONE","JayJay,박우정,Y..","우탄,이스란"
"50131","somuch","죠지","죠지,qjarn","죠지"
"50154","Sticky(Feat.Glorilla, Sexyy Red,Lil Wayne)","Tyler, The Creator","Tyler, The Creator,Glori..","Words & Music by"
"50186","Surf","NCT WISH","박문치,Chan,SHIRT","전간디,Chan,SHIRT"
"50171","TIMEBOMB","izna(이즈나)","TEDDY,VVN,KUSH,..","TEDDY,VVN,Vince.."
"50136","Top Floor (Feat.MELOH,The Quiett)","TOIL","TOIL,HIPPO","MELOH,The Quiett"
"50164","Upside Down Kiss","투모로우바이투게더","Slow Rabbit,""Hit..","Slow Rabbit,""Hit.."
"57797","Watch me! (""ウィッチウォッチ"")","YOASOBI","Ayase","Ayase"
"50207","XOXZ","IVE(아이브)","Diederik Van Els..","서지음,황유빈,장.."
"50142","Yukiakari (Korean ver.)","&TEAM","Vincenzo,Noerio..","Soma Genda,Ohashi"
